date,id,webcommand,total_qty,total_basket
2021-10-17,93,False,9,205.6
2021-10-17,2,False,18,447.42
2021-10-17,65,True,12,304.91
2021-10-19,59,False,9,177.23
2021-10-19,95,False,8,42.24
2021-10-19,36,False,3,163.36
2021-10-20,70,True,2,323.44
2021-10-20,29,False,4,337.05
2021-10-21,65,False,12,292.83
2021-10-21,128,True,5,333.59
2021-10-21,4,True,7,403.42
2021-10-22,97,False,10,415.52
2021-10-22,108,False,8,280.95
2021-10-23,128,False,1,125.69
2021-10-23,64,True,9,227.8
2021-10-24,64,True,4,148.14
2021-10-25,138,False,17,394.93
2021-10-25,68,True,15,186.3
2021-10-25,82,True,9,188.76
2021-10-25,55,True,5,137.4
2021-10-26,20,False,12,316.2
2021-10-26,97,False,8,138.0
2021-10-27,83,True,13,27.82
2021-10-28,101,False,2,263.9
2021-10-28,32,True,8,249.02
2021-10-29,44,True,18,306.27
2021-10-31,22,False,11,52.74
2021-10-31,100,False,3,448.1
2021-10-31,31,False,9,138.75
2021-10-31,7,True,8,311.28
2021-11-03,119,False,16,47.54
2021-11-03,129,False,18,417.36
2021-11-03,37,False,13,265.95
2021-11-04,86,False,6,267.36
2021-11-04,13,True,3,51.76
2021-11-04,86,True,8,295.7
2021-11-05,130,False,5,329.17
2021-11-05,38,False,2,175.68
2021-11-08,97,False,5,54.44
2021-11-08,99,True,15,107.6
2021-11-08,131,False,18,250.88
2021-11-08,11,True,2,334.4
2021-11-08,90,True,13,112.16
2021-11-09,84,True,12,286.19
2021-11-10,88,True,10,321.21
2021-11-11,43,False,11,362.54
2021-11-11,116,True,14,82.65
2021-11-12,15,True,8,385.92
2021-11-12,118,False,7,443.08
2021-11-13,7,False,6,60.88
2021-11-13,83,True,7,362.14
2021-11-13,17,False,17,186.86
2021-11-13,101,True,3,141.86
2021-11-14,53,True,12,376.03
2021-11-16,94,True,8,433.08
2021-11-16,96,True,2,181.02
2021-11-16,40,True,17,420.1
2021-11-17,90,False,18,307.94
2021-11-17,25,False,18,184.58
2021-11-18,17,True,14,20.88
2021-11-19,110,True,3,97.27
2021-11-19,133,False,5,239.02
2021-11-21,49,True,16,252.27
2021-11-21,25,False,12,393.94
2021-11-21,83,True,2,277.95
2021-11-21,26,False,4,72.76
2021-11-23,125,False,1,281.41
2021-11-23,96,True,12,20.43
2021-11-24,126,True,11,292.72
2021-11-24,102,False,4,15.56
2021-11-24,76,False,17,55.4
2021-11-24,109,True,17,87.41
2021-11-24,90,False,4,439.87
2021-11-25,49,False,7,383.98
2021-11-25,35,True,18,183.65
2021-11-25,50,False,3,328.31
2021-11-25,125,True,13,397.52
2021-11-26,25,True,1,328.82
2021-11-26,14,True,3,208.58
2021-11-28,96,True,18,392.91
2021-11-29,101,True,5,294.97
2021-11-30,119,False,14,277.36
2021-11-30,132,True,8,102.19
2021-11-30,34,False,5,414.45
2021-12-03,44,False,8,389.04
2021-12-04,22,True,18,248.28
2021-12-04,129,True,8,266.36
2021-12-05,17,True,3,195.72
2021-12-05,87,True,18,335.6
2021-12-05,124,False,15,63.79
2021-12-06,42,False,7,293.4
2021-12-06,67,True,4,230.7
2021-12-07,116,False,2,337.31
2021-12-07,128,False,6,253.53
2021-12-09,125,False,13,269.71
2021-12-09,16,True,11,43.68
2021-12-10,34,False,6,91.22
2021-12-11,64,False,18,297.28
2021-12-11,48,True,1,43.05
2021-12-13,33,True,16,82.63
2021-12-13,131,True,3,430.2
2021-12-13,49,True,2,39.27
2021-12-14,70,False,15,259.65
2021-12-14,43,True,12,348.22
2021-12-14,102,True,6,106.26
2021-12-14,125,False,16,314.59
2021-12-15,5,False,2,57.89
2021-12-15,83,True,6,101.28
2021-12-15,89,True,8,206.63
2021-12-15,114,False,16,176.72
2021-12-16,78,False,16,393.72
2021-12-17,43,True,8,440.75
2021-12-17,54,True,2,143.81
2021-12-17,74,False,7,284.66
2021-12-18,25,False,16,246.53
2021-12-18,54,True,8,68.95
2021-12-19,74,False,11,294.14
2021-12-19,26,False,10,228.08
2021-12-20,78,False,7,218.48
2021-12-21,80,True,15,411.64
2021-12-21,133,False,16,183.68
2021-12-21,16,True,11,354.95
2021-12-21,47,False,9,167.52
2021-12-21,84,False,14,55.19
2021-12-23,113,True,1,413.11
2021-12-23,133,False,14,52.43
2021-12-23,42,False,16,295.73
2021-12-24,27,False,13,149.48
2021-12-24,59,False,8,150.43
2021-12-24,133,True,4,158.88
2021-12-24,39,False,4,392.08
2021-12-24,124,False,15,230.03
2021-12-25,24,True,15,172.57
2021-12-25,84,True,10,167.14
2021-12-26,111,False,14,154.66
2021-12-26,0,False,5,336.2
2021-12-27,108,False,6,109.68
2021-12-28,88,False,3,342.03
2021-12-28,45,True,2,132.55
2021-12-28,22,True,7,201.34
2021-12-28,101,True,12,398.09
2021-12-28,82,True,16,109.92
2021-12-29,22,True,9,154.62
2021-12-29,126,False,11,322.78
2021-12-30,63,False,1,130.17
2021-12-30,126,True,5,175.73
2021-12-30,38,True,1,46.0
2021-12-31,136,True,17,264.14
2022-01-02,79,False,7,156.23
2022-01-02,118,False,8,79.73
2022-01-02,60,False,18,160.77
2022-01-02,28,True,8,218.83
2022-01-03,61,False,11,432.53
2022-01-03,47,True,2,129.65
2022-01-13,49,True,4,392.5
2022-01-13,86,True,2,294.94
2022-01-13,88,True,18,363.22
2022-01-13,68,False,4,51.12
2022-01-14,39,True,14,244.07
2022-01-14,3,True,11,153.7
2022-01-14,12,False,10,291.41
2022-01-14,88,True,15,237.18
2022-01-14,128,True,7,342.04
2022-01-15,91,True,7,222.12
2022-01-15,99,True,10,318.63
2022-01-15,48,False,2,281.21
2022-01-16,110,False,15,153.94
2022-01-16,112,True,18,39.73
2022-01-18,16,False,11,161.57
2022-01-20,13,True,12,154.88
2022-01-20,87,True,18,15.48
2022-01-20,131,False,3,121.43
2022-01-21,136,False,12,129.2
2022-01-21,22,False,10,276.8
2022-01-22,44,False,7,40.06
2022-01-22,93,False,9,258.92
2022-01-23,79,False,8,107.53
2022-01-24,0,False,4,208.56
2022-01-26,66,True,14,114.41
2022-01-26,36,False,15,39.25
2022-01-28,123,False,13,169.15
2022-01-31,0,True,11,320.31
2022-01-31,139,False,18,145.78
2022-01-31,82,False,10,108.3
2022-01-31,86,True,3,24.9
2022-01-31,9,False,9,210.92
2022-02-01,25,True,15,191.53
2022-02-02,1,True,7,368.54
2022-02-02,96,False,4,193.64
2022-02-03,76,False,5,122.58
2022-02-03,28,True,7,298.55
2022-02-03,133,False,1,328.15
2022-02-14,34,True,16,181.3
2022-02-15,97,True,8,205.94
2022-02-16,53,False,3,156.47
2022-02-16,102,False,4,193.1
2022-02-17,137,False,17,46.02
2022-02-19,45,True,1,45.19
2022-02-19,105,True,15,90.73
2022-02-19,137,True,6,122.1
2022-02-19,24,True,3,414.6
2022-02-20,74,True,5,73.89
2022-02-20,108,True,3,353.29
2022-02-20,22,True,3,214.12
2022-02-20,47,False,11,261.0
2022-02-20,31,True,5,433.08
2022-02-21,103,True,9,311.16
2022-02-21,136,False,12,180.31
2022-02-21,86,False,4,426.95
2022-02-22,86,False,4,254.58
2022-02-22,50,True,11,81.13
2022-02-23,49,True,18,364.9
2022-02-23,45,False,17,134.24
2022-02-24,16,True,18,324.72
2022-02-24,54,False,4,51.7
2022-02-24,47,False,15,165.12
2022-02-25,4,False,1,291.02
2022-02-25,53,True,17,425.71
2022-02-25,108,True,9,218.71
2022-02-25,34,True,16,320.68
2022-02-27,84,True,15,66.3
2022-02-27,117,False,9,249.86
2022-02-27,15,True,15,56.78
2022-02-27,98,True,15,109.57
2022-02-27,128,True,13,436.54
2022-02-27,109,True,4,232.2
2022-02-28,18,False,6,366.0
2022-03-01,78,False,4,93.06
2022-03-03,40,False,7,103.2
2022-03-03,24,False,17,43.58
2022-03-03,13,False,13,257.03
2022-03-13,19,True,4,15.41
2022-03-13,31,True,15,300.73
2022-03-13,5,False,7,264.25
2022-03-13,25,True,2,189.39
2022-03-14,7,False,4,174.22
2022-03-15,59,False,18,338.44
2022-03-16,7,False,14,321.94
2022-03-16,124,False,6,371.99
2022-03-16,72,True,6,27.56
2022-03-16,12,True,16,255.32
2022-03-16,112,False,17,288.35
2022-03-17,34,True,14,105.17
2022-03-17,21,False,10,15.5
2022-03-17,20,False,15,266.58
2022-03-18,118,False,4,352.47
2022-03-19,58,True,18,49.72
2022-03-19,34,True,17,371.98
2022-03-20,90,False,8,370.61
2022-03-20,101,True,3,275.43
2022-03-20,123,True,12,293.95
2022-03-21,0,False,13,164.12
2022-03-21,103,True,4,353.04
2022-03-23,105,False,1,261.81
2022-03-23,135,False,18,69.62
2022-03-23,114,False,14,135.33
2022-03-24,1,False,12,155.42
2022-03-24,7,False,18,289.68
2022-03-24,108,True,17,409.75
2022-04-01,75,True,4,176.07
2022-04-01,79,False,11,234.66
2022-04-02,103,True,16,48.25
2022-04-02,75,False,10,362.8
2022-04-02,64,False,18,277.5
2022-04-03,95,True,4,60.27
2022-04-03,86,False,13,237.52
2022-05-02,14,False,8,82.17
2022-05-02,113,True,8,241.44
2022-05-02,100,False,5,423.78
2022-05-03,97,False,8,321.27
2022-06-01,88,True,2,163.7
2022-06-01,131,True,13,129.8
2022-06-02,18,False,9,312.28
2022-06-03,138,False,10,245.54
2022-06-03,75,True,15,255.1
2022-06-03,64,True,2,359.45
2022-06-03,4,False,3,390.53
2022-07-02,111,False,13,50.25
2022-07-02,14,False,17,220.56
2022-07-03,41,False,9,186.61
2022-07-03,41,False,18,264.98
2022-08-01,2,True,8,399.03
2022-08-01,11,True,10,25.2
2022-08-02,13,False,13,171.85
2022-08-03,75,False,5,318.62
2022-08-03,123,False,6,130.63
2022-08-03,43,False,3,292.44
2022-09-01,130,True,14,235.56
2022-09-01,5,True,2,249.15
2022-09-03,58,True,9,424.16
2022-10-01,70,False,11,418.55
2022-10-01,32,False,1,444.87
2022-10-01,135,False,2,47.5
2022-10-01,60,True,15,166.22
2022-10-02,124,True,14,299.37
2022-10-03,65,False,15,95.93
2022-10-03,17,False,1,63.2
2022-11-02,132,True,1,309.86
2022-11-02,4,False,1,308.38
2022-11-03,93,False,15,273.84
2022-11-03,67,False,5,256.25
2022-11-03,25,False,6,92.57
2022-12-01,114,True,10,300.09
2022-12-01,56,False,8,445.6
2022-12-01,9,True,15,62.29
2022-12-01,40,True,3,248.24
2022-12-01,5,False,12,15.65
2022-12-02,28,False,16,307.77
2022-12-02,32,True,17,51.7
2022-12-02,55,False,2,191.48
2022-12-03,63,True,8,109.61
2022-12-03,53,False,6,282.11
